URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/discharge-disposition,1.0.1,active,"2.16.840.1.113883.4.642.1.1093",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","ValueSet/fr-core-vs-encounter-discharge-disposition"
http://terminology.hl7.org/CodeSystem/v2-0007,3.0.0,active,"2.16.840.1.113883.18.9",AdmissionType,admissionType,"Code system of concepts specifying the circumstances under which the patient was or will be admitted.  Used in HL7 Version 2.x messaging in the PV1 segment.","ValueSet/fr-core-vs-encounter-type"
http://terminology.hl7.org/CodeSystem/v2-0131,3.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/fr-core-vs-patient-contact-role"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/fr-core-vs-practitioner-identifier-type,ValueSet/fr-core-vs-patient-identifier-type"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,4.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/fr-core-vs-marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,4.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/fr-core-vs-marital-status"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-circonstances-sortie,2.1.0,draft,,FRCoreCodeSystemCirconstancesSortie,FR Core CodeSystem Circonstances Sortie,"Discharge Disposition","ValueSet/fr-core-vs-encounter-discharge-disposition"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-identifier-type,2.1.0,draft,,FRCoreCodeSystemIdentifierType,FR Core CodeSystem Identifier Type,"Identifier type","ValueSet/fr-core-vs-encounter-identifier-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-physical-type,2.1.0,draft,,FRCoreCodeSystemLocationPhysicalType,FR Core CodeSystem Location Physical Type,"Location physical type","ValueSet/fr-core-vs-location-physical-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-marital-status,2.1.0,draft,,FRCoreCodeSystemMaritalStatus,FR Core CodeSystem Marital Status,"Identifier type","ValueSet/fr-core-vs-marital-status"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-type-admission,2.1.0,draft,,FRCoreCodeSystemTypeAdmission,FR Core CodeSystem Type Admission,"Admission type","ValueSet/fr-core-vs-encounter-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-0203,2.1.0,active,,FRCoreCodeSystemv2_0203,FR Core CodeSystem v2-0203,"HL7 v2 - Identifier type","ValueSet/fr-core-vs-practitioner-identifier-type,ValueSet/fr-core-vs-patient-identifier-type"
https://mos.esante.gouv.fr/NOS/TRE_G08-TypeIdentifiantPersonne/FHIR/TRE-G08-TypeIdentifiantPersonne,1.3.0,active,"1.2.250.1.71.1.2.15",TRE_G08-TypeIdentifiantPersonne,,"Type d'identifiant de personne","ValueSet/fr-core-vs-practitioner-identifier-type"
https://mos.esante.gouv.fr/NOS/TRE_R216-HL7RoleCode/FHIR/TRE-R216-HL7RoleCode,1.3.0,active,"2.16.840.1.113883.5.111",TRE_R216-HL7RoleCode,,"HL7 roleCode","ValueSet/fr-core-vs-relation-type"
https://mos.esante.gouv.fr/NOS/TRE_R217-ProtectionJuridique/FHIR/TRE-R217-ProtectionJuridique,1.3.0,active,"1.2.250.1.213.1.1.4.327",TRE_R217-ProtectionJuridique,,"Protection juridique","ValueSet/fr-core-vs-patient-contact-role"
https://mos.esante.gouv.fr/NOS/TRE_R226-Dip2iemeCycleNQ/FHIR/TRE-R226-Dip2iemeCycleNQ,1.3.0,active,"1.2.250.1.213.1.6.1.118",TRE_R226-Dip2iemeCycleNQ,,"Diplôme de 2ième cycle non qualifiant","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R260-HL7RoleClass/FHIR/TRE-R260-HL7RoleClass,1.3.0,active,"2.16.840.1.113883.5.110",TRE_R260-HL7RoleClass,,"Rôle de la personne point de contact auprès d'une autre personne repris de la terminologie HL7 v3 RoleClass (https://www.hl7.org/fhir/v3/RoleClass/cs.html)","ValueSet/fr-core-vs-patient-contact-role"
https://mos.esante.gouv.fr/NOS/TRE_R348-FormationSpecialiseeTransversale/FHIR/TRE-R348-FormationSpecialiseeTransversale,1.3.0,active,"1.2.250.1.213.1.6.1.251",TRE_R348-FormationSpecialiseeTransversale,,"Formation Spécialisée Transversale (FST)","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R36-AutreDiplomeObtenu/FHIR/TRE-R36-AutreDiplomeObtenu,1.3.0,active,"1.2.250.1.213.1.6.1.54",TRE_R36-AutreDiplomeObtenu,,"Autre diplôme obtenu","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R38-SpecialiteOrdinale/FHIR/TRE-R38-SpecialiteOrdinale,1.3.0,active,"1.2.250.1.213.2.28",TRE_R38-SpecialiteOrdinale,,"Spécialité ordinale","ValueSet/fr-core-vs-practitioner-specialty"
https://mos.esante.gouv.fr/NOS/TRE_R48-DiplomeEtatFrancais/FHIR/TRE-R48-DiplomeEtatFrancais,1.3.0,active,"1.2.250.1.213.1.6.1.31",TRE_R48-DiplomeEtatFrancais,,"Diplôme de l'Etat français","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R49-DiplomeEtudeSpecialisee/FHIR/TRE-R49-DiplomeEtudeSpecialisee,1.3.0,active,"1.2.250.1.213.1.6.1.32",TRE_R49-DiplomeEtudeSpecialisee,,"Diplôme d'Etudes Spécialisées","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R50-DESCGroupe1Diplome/FHIR/TRE-R50-DESCGroupe1Diplome,1.3.0,active,"1.2.250.1.213.1.6.1.48",TRE_R50-DESCGroupe1Diplome,,"DESC Groupe 1 (diplôme)","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R51-DESCGroupe2Diplome/FHIR/TRE-R51-DESCGroupe2Diplome,1.3.0,active,"1.2.250.1.213.1.6.1.49",TRE_R51-DESCGroupe2Diplome,,"DESC Groupe 2 (diplôme)","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R52-CapaciteDiplome/FHIR/TRE-R52-CapaciteDiplome,1.3.0,active,"1.2.250.1.213.1.6.1.50",TRE_R52-CapaciteDiplome,,"Capacité (diplôme)","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R53-DiplomePaysEEE/FHIR/TRE-R53-DiplomePaysEEE,1.3.0,active,"1.2.250.1.213.1.6.1.51",TRE_R53-DiplomePaysEEE,,"Diplôme d'un pays de l'EEE","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R54-DiplomeUniversiteInterUniversitaire/FHIR/TRE-R54-DiplomeUniversiteInterUniversitaire,1.3.0,active,"1.2.250.1.213.1.6.1.34",TRE_R54-DiplomeUniversiteInterUniversitaire,,"Diplôme d'Université ou Inter-Universitaire","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R55-CertificatEtudeSpeciale/FHIR/TRE-R55-CertificatEtudeSpeciale,1.3.0,active,"1.2.250.1.213.1.6.1.52",TRE_R55-CertificatEtudeSpeciale,,"Certificat d'Etude Spéciale","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R56-Attestation/FHIR/TRE-R56-Attestation,1.3.0,active,"1.2.250.1.213.1.6.1.27",TRE_R56-Attestation,,"Attestation","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R57-DiplomeEuropeenEtudeSpecialisee/FHIR/TRE-R57-DiplomeEuropeenEtudeSpecialisee,1.3.0,active,"1.2.250.1.213.1.6.1.33",TRE_R57-DiplomeEuropeenEtudeSpecialisee,,"Diplôme Européen d'Etudes Spécialisées","ValueSet/JDV-J105-EnsembleDiplome-RASS"
https://mos.esante.gouv.fr/NOS/TRE_R58-AutreTypeDiplome/FHIR/TRE-R58-AutreTypeDiplome,1.3.0,active,"1.2.250.1.213.1.6.1.53",TRE_R58-AutreTypeDiplome,,"Autre type de diplôme","ValueSet/JDV-J105-EnsembleDiplome-RASS"
